date,open,high,low,close
2024-12-02 13:00:00,1.0501,1.05146,1.04959,1.05056
2024-12-02 14:00:00,1.05059,1.05149,1.04723,1.04739
2024-12-02 15:00:00,1.04735,1.04811,1.0462,1.04689
2024-12-02 16:00:00,1.04691,1.04979,1.04606,1.04834
2024-12-02 17:00:00,1.04835,1.04991,1.04803,1.04874
2024-12-02 18:00:00,1.04875,1.04934,1.04846,1.04897
2024-12-02 19:00:00,1.04901,1.04946,1.04872,1.04905
2024-12-02 20:00:00,1.04903,1.05163,1.04886,1.05001
2024-12-02 21:00:00,1.04998,1.05032,1.04968,1.04981
2024-12-02 22:00:00,1.04983,1.05014,1.04942,1.0497
2024-12-02 23:00:00,1.04968,1.05019,1.04968,1.05009
2024-12-03 00:00:00,1.05007,1.05015,1.04884,1.04911
2024-12-03 01:00:00,1.0491,1.04975,1.04841,1.04879
2024-12-03 02:00:00,1.04879,1.04923,1.04821,1.04892
2024-12-03 03:00:00,1.04892,1.04947,1.04869,1.04903
2024-12-03 04:00:00,1.049,1.04916,1.04843,1.04853
2024-12-03 05:00:00,1.04854,1.04927,1.04806,1.04914
2024-12-03 06:00:00,1.04916,1.04949,1.04833,1.04878
2024-12-03 07:00:00,1.0488,1.05117,1.04861,1.0498
2024-12-03 08:00:00,1.04981,1.05281,1.04972,1.05254
2024-12-03 09:00:00,1.05255,1.0531,1.05163,1.05205
2024-12-03 10:00:00,1.05201,1.05301,1.05119,1.05149
2024-12-03 11:00:00,1.05147,1.05275,1.05138,1.05229
2024-12-03 12:00:00,1.05227,1.05247,1.05069,1.05078
2024-12-03 13:00:00,1.05076,1.05272,1.05062,1.05239
2024-12-03 14:00:00,1.0524,1.05292,1.0517,1.05198
2024-12-03 15:00:00,1.05201,1.05201,1.04921,1.05167
2024-12-03 16:00:00,1.0517,1.05197,1.0503,1.05177
2024-12-03 17:00:00,1.05173,1.05304,1.05081,1.05286
2024-12-03 18:00:00,1.05281,1.05353,1.05248,1.05276
2024-12-03 19:00:00,1.05278,1.05293,1.05045,1.05045
2024-12-03 20:00:00,1.05045,1.0513,1.05027,1.05092
2024-12-03 21:00:00,1.05092,1.05122,1.05072,1.05084
2024-12-03 22:00:00,1.05063,1.05093,1.0504,1.05085
2024-12-03 23:00:00,1.05085,1.05112,1.05057,1.051
2024-12-04 00:00:00,1.05091,1.05123,1.0497,1.04991
2024-12-04 01:00:00,1.04994,1.05129,1.04971,1.05061
2024-12-04 02:00:00,1.05061,1.05085,1.04975,1.05002
2024-12-04 03:00:00,1.05004,1.05008,1.04878,1.04937
2024-12-04 04:00:00,1.04936,1.05139,1.04907,1.05109
2024-12-04 05:00:00,1.0511,1.05205,1.05095,1.05154
2024-12-04 06:00:00,1.0515,1.05295,1.05102,1.05232
2024-12-04 07:00:00,1.0523,1.05268,1.05074,1.05091
2024-12-04 08:00:00,1.05089,1.05152,1.04901,1.04914
2024-12-04 09:00:00,1.04914,1.05062,1.04824,1.0503
2024-12-04 10:00:00,1.0503,1.05097,1.04959,1.04992
2024-12-04 11:00:00,1.04991,1.05126,1.04975,1.05049
2024-12-04 12:00:00,1.05047,1.05051,1.04878,1.04914
2024-12-04 13:00:00,1.04912,1.04977,1.04791,1.04835
2024-12-04 14:00:00,1.04835,1.04988,1.04722,1.04948
2024-12-04 15:00:00,1.04959,1.05444,1.04959,1.05295
2024-12-04 16:00:00,1.05296,1.05369,1.05201,1.05271
2024-12-04 17:00:00,1.05268,1.05429,1.05248,1.05375
2024-12-04 18:00:00,1.05374,1.0539,1.05155,1.05168
2024-12-04 19:00:00,1.05161,1.05295,1.05072,1.05139
2024-12-04 20:00:00,1.05139,1.05175,1.05048,1.05129
2024-12-04 21:00:00,1.05128,1.0516,1.05077,1.05123
2024-12-04 22:00:00,1.05113,1.05132,1.05097,1.05107
2024-12-04 23:00:00,1.05106,1.05157,1.05077,1.05123
2024-12-05 00:00:00,1.05105,1.05162,1.0508,1.05144
2024-12-05 01:00:00,1.05143,1.0516,1.05089,1.05122
2024-12-05 02:00:00,1.05124,1.05231,1.05105,1.05198
2024-12-05 03:00:00,1.052,1.05235,1.05157,1.05229
2024-12-05 04:00:00,1.05228,1.05259,1.0517,1.0518
2024-12-05 05:00:00,1.05183,1.05292,1.05171,1.05268
2024-12-05 06:00:00,1.05268,1.053,1.05228,1.05257
2024-12-05 07:00:00,1.05257,1.05389,1.05247,1.05353
2024-12-05 08:00:00,1.05352,1.05466,1.05289,1.05302
2024-12-05 09:00:00,1.05302,1.05349,1.05212,1.05288
2024-12-05 10:00:00,1.05285,1.05354,1.0525,1.05262
2024-12-05 11:00:00,1.05262,1.05383,1.05234,1.05366
2024-12-05 12:00:00,1.05364,1.05389,1.05236,1.05367
2024-12-05 13:00:00,1.0537,1.05684,1.05332,1.05673
2024-12-05 14:00:00,1.05675,1.05897,1.05658,1.05755
2024-12-05 15:00:00,1.05758,1.058,1.05507,1.05722
2024-12-05 16:00:00,1.05721,1.05785,1.05647,1.05704
2024-12-05 17:00:00,1.05705,1.05749,1.05573,1.05676
2024-12-05 18:00:00,1.05677,1.057,1.05568,1.05682
2024-12-05 19:00:00,1.05682,1.05889,1.05682,1.05871
2024-12-05 20:00:00,1.05875,1.05883,1.05808,1.05843
2024-12-05 21:00:00,1.05839,1.05887,1.05818,1.05866
2024-12-05 22:00:00,1.05859,1.05889,1.05857,1.05876
2024-12-05 23:00:00,1.05875,1.0588,1.05837,1.05855
2024-12-06 00:00:00,1.05853,1.05857,1.05763,1.05773
2024-12-06 01:00:00,1.05771,1.05783,1.05658,1.05685
2024-12-06 02:00:00,1.05688,1.05784,1.05683,1.05769
2024-12-06 03:00:00,1.0577,1.05805,1.05727,1.05759
2024-12-06 04:00:00,1.05759,1.05773,1.05724,1.05755
2024-12-06 05:00:00,1.05754,1.05756,1.05687,1.05722
2024-12-06 06:00:00,1.05724,1.05781,1.05692,1.05744
2024-12-06 07:00:00,1.05747,1.05848,1.05673,1.05835
2024-12-06 08:00:00,1.05839,1.05941,1.05764,1.05823
2024-12-06 09:00:00,1.05822,1.05837,1.05711,1.05775
2024-12-06 10:00:00,1.05774,1.05851,1.05714,1.05828
2024-12-06 11:00:00,1.05827,1.05892,1.05766,1.05872
2024-12-06 12:00:00,1.05871,1.05888,1.05803,1.05814
2024-12-06 13:00:00,1.05815,1.06299,1.05789,1.06042
2024-12-06 14:00:00,1.06043,1.06073,1.05679,1.05792
2024-12-06 15:00:00,1.0579,1.05793,1.05442,1.05634
2024-12-06 16:00:00,1.05632,1.05756,1.0554,1.05625
2024-12-06 17:00:00,1.05625,1.05625,1.05469,1.05511
2024-12-06 18:00:00,1.0551,1.05613,1.0546,1.05495
2024-12-06 19:00:00,1.05493,1.05553,1.05422,1.05543
2024-12-06 20:00:00,1.05547,1.05642,1.05539,1.05634
2024-12-06 21:00:00,1.05635,1.05697,1.05614,1.0568
2024-12-08 22:00:00,1.05611,1.05639,1.05573,1.05628
2024-12-08 23:00:00,1.05625,1.05697,1.05595,1.05651
2024-12-09 00:00:00,1.05645,1.05648,1.05553,1.05593
2024-12-09 01:00:00,1.05591,1.05612,1.05511,1.05519
2024-12-09 02:00:00,1.05521,1.05564,1.05503,1.05551
2024-12-09 03:00:00,1.0555,1.05568,1.05366,1.05376
2024-12-09 04:00:00,1.05376,1.05402,1.05319,1.05349
2024-12-09 05:00:00,1.05347,1.05387,1.05337,1.05373
2024-12-09 06:00:00,1.0537,1.05452,1.05364,1.05442
2024-12-09 07:00:00,1.05442,1.05666,1.0541,1.05642
2024-12-09 08:00:00,1.05644,1.05707,1.05566,1.05673
2024-12-09 09:00:00,1.05671,1.05753,1.05617,1.0566
2024-12-09 10:00:00,1.05662,1.05856,1.05662,1.05804
2024-12-09 11:00:00,1.05808,1.05853,1.05674,1.05689
2024-12-09 12:00:00,1.05689,1.05715,1.05577,1.05659
